#,Логин,Подкласс,Умение,Логин совпадает,Выдан слот,Был реролл,Сирус,Убер Атзири,"Ол, босс спуска",Мейвен,Убер Древний
112,Jelly9004,Saboteur,Armageddon Brand,Да,Да,Да,,,,,
113,MrMixed,Deadeye,Artillery Ballista,Да,Да,,,,,,
114,Vadico,Scion,Storm Brand,Да,Да,,,,,,
115,Wildgraff,Elementalist,Explosive Concoction,Да,Да,Да,,,,,
116,Sinner88,Inquisitor,Ethereal Knives,Да,Да,Да,,,,,
117,Khamm237,Elementalist,Siphoning Trap,Да,Да,,,,,,
118,uroboros93,Raider,Icicle Mine,Да,Да,Да,,,,,
119,Duxt666,Chieftain,Holy Flame Totem,Да,Да,,,,,,
120,REPORT88,Inquisitor,Lightning Spire Trap,Да,Да,Да,,,,,
121,Gelonizzio,Hierophant,Frenzy,Да,Да,,,,,,
122,parkw,Saboteur,Raise Spectre,Да,Да,Да,,,,,
123,dmitriykun,Chieftain,Dual Strike,Да,Да,Да,,,,,
124,Mixandes,Slayer,Chain Hook,Да,Да,,,,,,
125,Klemenlemen,Pathfinder,Vortex,Да,Да,Да,,,,,
126,lolikolish,Champion,Rage Vortex,Да,Да,,,,,,
127,RJIFR,Juggernaut,Earthshatter,Да,Да,,,,,,
128,AMSANTEX,Assassin,Ball Lightning,Да,Да,,,,,,
129,WhiteZombie6001,Deadeye,Kinetic Blast,Да,Да,,,,,,
130,Oneronrus,Inquisitor,Seismic Trap,Да,Да,Да,Да,,,,
131,Hfdiozis,Saboteur,Dark Pact,Да,Да,Да,,,,,
132,s1mt0mlive,Champion,Blade Flurry,Да,Да,Да,,,,,
133,Tadamoru,Guardian,Flameblast,Да,Да,,,,,,
134,sanchez1983,Elementalist,Storm Rain,Да,Да,Да,,,,,
135,aka4ery,Deadeye,Tornado,Да,Да,Да,,,,,
136,izadel,Slayer,Molten Strike,Да,Да,Да,,,,,
137,camcoh11,Trickster,Creeping Frost,Да,Да,Да,,,,,
138,Mentoriangel,Guardian,Double Strike,Да,Да,,,,,,
139,AbyssTemplar_K_A,Trickster,Blade Flurry,Да,Да,,,,,,
140,lensor97,Assassin,Incinerate,Да,Да,,,,,,
141,Jadnostb,Juggernaut,Explosive Arrow,Да,Да,Да,,,,,
142,A4ninja,Elementalist,Ice Trap,Да,Да,,,,,,
143,alex_skrim,Hierophant,Cleave,Да,Да,Да,,,,,
144,wwwMERKwww,Slayer,Artillery Ballista,Да,Да,Да,,,,,
145,CHODKY,Guardian,Icicle Mine,Да,Да,,,,,,
146,NIKITAM4IK,Pathfinder,Lightning Trap,Да,Да,Да,,,,,
147,klementey,Necromancer,Herald of Purity,Да,Да,,,,,,
148,danilarepev555,Assassin,Eye of Winter,Да,Да,Да,Да,,,,
149,mrcedrik,Trickster,Smite,Да,Да,Да,,,,,
150,atttashe,Deadeye,Wild Strike,Да,Да,Да,,,,,
151,KudukuNeverDie,Necromancer,Wintertide Brand,Да,Да,Да,,,,,
152,VinBuzz,Chieftain,Viper Strike,Да,Да,Да,,,,,
153,BBerrY,Scion,Pyroclast Mine,Да,Да,,Да,Да,,,
154,КотМатраскин,Saboteur,Pyroclast Mine,Да,Да,,,,,,
155,DANIALS,Necromancer,Artillery Ballista,Да,Да,Да,,,,,
156,Evrever,Pathfinder,Forbidden Rite,Да,Да,Да,,,,,
157,JaiV,Gladiator,Summon Ice Golem,Да,Да,Да,,,,,
158,Akba_Amatin,Occultist,Spectral Shield Throw,Да,Да,Да,,,,,
159,IQBomj,Gladiator,Exsanguinate,Да,Да,,,,,,
160,Uaira,Deadeye,Shrapnel Ballista,Да,Да,Да,,,,,
161,DeasX,Gladiator,Hexblast,Да,Да,Да,,,,,
162,1GRAVOTECH1,Elementalist,Ethereal Knives,Да,Да,Да,,,,,
163,!|cff00ff00Ray,Saboteur,Split Arrow,Да,Да,Да,,,,,
164,gluk095,Saboteur,Lightning Spire Trap,Да,Да,Да,,,,,
165,mmnnbbvv555,Saboteur,Reap,Да,Да,Да,Да,Да,,,
166,Velidor,Guardian,Incinerate,Да,Да,Да,,,,,
167,JasonConor,Raider,Scourge Arrow,Да,Да,Да,,,,,
168,dehb4uks,Occultist,Searing Bond,Да,Да,Да,,,,,
169,semasping_ya,Chieftain,Creeping Frost,Да,Да,,,,,,
170,TS_th,Pathfinder,Frostbolt,Да,Да,Да,,,,,
171,Dark_Taezhnik,Scion,Blazing Salvo,Да,Да,,,,,,
172,Xaha2425AU,Slayer,Chain Hook,Да,Да,,,,,,
173,BiGoDeaD,Raider,Blazing Salvo,Да,Да,Да,,,,,
174,Abensoon,Necromancer,Detonate Dead,Да,Да,,,,,,
175,rottmans,Raider,Explosive Concoction,Да,Да,,,,,,
176,Solperro,Pathfinder,Bladestorm,Да,Да,Да,,,,,
177,anycrack,Chieftain,Blast Rain,Да,Да,Да,,,,,
178,Grabozeka90,Assassin,Manabond,Да,Да,Да,,,,,
179,akolyte91,Scion,Blade Trap,Да,Да,,,,,,
180,Lycer1,Inquisitor,Ball Lightning,Да,Да,Да,,,,,
181,Lemnire,Champion,Bane,Да,Да,Да,,,,,
182,killowolt,Slayer,Charged Dash,Да,Да,Да,,,,,
183,KotVKaske,Inquisitor,Manabond,Да,Да,,,,,,
184,deadweapon,Assassin,Fireball,Да,Да,,,,,,
185,tolyan161rus,Scion,Bladefall,Да,Да,,,,,,
186,Karabasus,Raider,Glacial Cascade,Да,Да,,,,,,
187,Finir,Guardian,Blade Vortex,Да,Да,Да,,,,,
188,IzhStinger3,Chieftain,Lightning Arrow,Да,Да,Да,,,,,
189,Orfas,Pathfinder,Caustic Arrow,Да,Да,,,,,,
190,PatchWayne,Assassin,Blade Blast,Да,Да,,,,,,
191,DarkArkirus,Berserker,Arc,Да,Да,Да,,,,,
192,InliK,Occultist,Pestilent Strike,Да,Да,,,,,,
193,MeSHiTiL,Chieftain,Shock Nova,Да,Да,,,,,,
194,Zlobynja,Gladiator,Summon Raging Spirit,Да,Да,,,,,,
195,Marillador,Champion,Penance Brand,Да,Да,,,,,,
196,prikolchik574,Elementalist,Blazing Salvo,Да,Да,Да,,,,,
197,МРС,Scion,Stormblast Mine,Да,Да,,,,,,
198,kimerijec,Occultist,Firestorm,Да,Да,,,,,,
199,MaxikysS,Assassin,Molten Strike,Да,Да,,,,,,
200,timmi_bom69,Pathfinder,Spectral Shield Throw,Да,Да,Да,,,,,
201,Stetskoi,Pathfinder,Cobra Lash,Да,Да,,,,,,
202,Shikisama,Pathfinder,Venom Gyre,Да,Да,,,,,,
203,Dodzo1986,Chieftain,Discharge,Да,Да,,,,,,
204,vovan_karavan,Inquisitor,Spectral Shield Throw,Да,Да,Да,,,,,
205,Jean_Sky_Poor,Necromancer,Perforate,Да,Да,,,,,,
206,Jlocbka,Berserker,Incinerate,Да,Да,Да,,,,,
207,wpLizergin,Gladiator,Stormblast Mine,Да,Да,Да,,,,,
208,DarkFreed,Assassin,Infernal Blow,Да,Да,Да,,,,,
209,gifron,Scion,Summon Skeletons,Да,Да,,,,,,
210,lao_lao,Slayer,Sunder,Да,Да,Да,,,,,
211,rozen717,Gladiator,Shattering Steel,Да,Да,,,,,,
212,FW_190,Slayer,Divine Ire,Да,Да,Да,,,,,
213,mrsReAnima,Elementalist,Lightning Tendrils,Да,Да,Да,,,,,
214,zumu01,Champion,Consecrated Path,Да,Да,,,,,,
215,lilhardy,Trickster,Siphoning Trap,Да,Да,,,,,,
216,LeerInnen,Elementalist,Incinerate,Да,Да,,,,,,
217,XerakLev,Raider,Animate Guardian,Да,Да,Да,,,,,
218,Stargather,Berserker,Bladestorm,Да,Да,Да,,,,,
219,skeleton806,Champion,Double Strike,Да,Да,Да,,,,,
220,mclean90,Juggernaut,Penance Brand,Да,Да,Да,,,,,
221,Nosferatu545,Saboteur,Flamethrower Trap,Да,Да,,,,,,
222,iffelect,Hierophant,Bane,Да,Да,Да,,,,,
223,SoloTryn,Chieftain,Consecrated Path,Да,Да,Да,,,,,
224,NGCGALAXY,Gladiator,Boneshatter,Да,Да,,,,,,
225,hero1n41k,Raider,Galvanic Arrow,Да,Да,,,,,,
226,Looper23,Trickster,Ancestral Warchief,Да,Да,Да,,,,,
227,ShadowNyaNya,Juggernaut,Blade Flurry,Да,Да,,,,,,
228,Saycool,Gladiator,Cleave,Да,Да,Да,,,,,
229,FATEIRA,Guardian,Divine Ire,Да,Да,,,,,,
230,babkasiska,Slayer,Storm Rain,Да,Да,Да,,,,,
231,lik_ural1,Pathfinder,Ice Shot,Да,Да,Да,,,,,
232,fdeimos17,Deadeye,Puncture,Да,Да,Да,,,,,
233,KrutoiAlik,Champion,Infernal Blow,Да,Да,,Да,,,,
234,Stakaron,Raider,Blade Flurry,Да,Да,Да,,,,,
235,R8_DEMON,Champion,Boneshatter,Да,Да,,,,,,
236,_MURZILKA_,Guardian,Molten Strike,Да,Да,Да,,,,,
237,Барабашка,Trickster,Earthquake,Да,Да,,,,,,
238,posipaka7777,Pathfinder,Glacial Cascade,Да,Да,Да,,,,,
239,Neyasit82,Trickster,Blade Flurry,Да,Да,Да,,,,,
240,PenumbraBro,Trickster,Dominating Blow,Да,Да,Да,,,,,
241,r0mbus,Slayer,Flameblast,Да,Да,,,,,,
242,batysan,Hierophant,Scorching Ray,Да,Да,Да,,,,,
243,Gromkalor,Slayer,Consecrated Path,Да,Да,Да,,,,,
244,shimiki4,Raider,Lightning Arrow,Да,Да,Да,,,,,
245,leha19930912,Chieftain,Wild Strike,Да,Да,Да,,,,,
246,BaklaghaN,Assassin,Wintertide Brand,Да,Да,,,,,,
247,Perestark,Pathfinder,Reap,Да,Да,,,,,,
248,stupidhost2,Raider,Pestilent Strike,Да,Да,Да,,,,,
249,NURGUND,Gladiator,Bladestorm,Да,Да,,,,,,
250,YesYesIM,Scion,Flicker Strike,Да,Да,Да,,,,,
251,bogzdorovya,Scion,Wave of Conviction,Да,Да,,,,,,
252,maxroks,Berserker,Frost Blades,Да,Да,,,,,,
253,VitAliKak,Slayer,Dual Strike,Да,Да,,,,,,
254,Rootbloody,Hierophant,Shock Nova,Да,Да,Да,,,,,
255,Silvira,Occultist,Armageddon Brand,Да,Да,Да,,,,,
256,DsNl48,Elementalist,Lightning Trap,Да,Да,,,,,,
257,Playnes,Pathfinder,Glacial Hammer,Да,Да,Да,,,,,
258,skaldstrider,Juggernaut,Molten Strike,Да,Да,,,,,,
259,Shachu,Necromancer,Herald of Purity,Да,Да,Да,Да,Да,,Да,Да
260,SAM08G,Chieftain,Ground Slam,Да,Да,Да,,,,,
261,z1ZOner,Raider,Bladestorm,Да,Да,Да,,,,,
262,pathofex_me,Champion,Animate Weapon,Да,Да,Да,,,,,
263,Zyxenok,Raider,Kinetic Blast,Да,Да,,,,,,
264,f51,Hierophant,Glacial Hammer,Да,Да,,,,,,
265,Praeire,Occultist,Blazing Salvo,Да,Да,,,,,,
266,Polyakoff,Necromancer,Raise Zombie,Да,Да,,,,,,
267,butajl,Elementalist,Lightning Tendrils,Да,Нет,Да,,,,,
268,HakunaMatata1989,Elementalist,Stormblast Mine,Да,Да,Да,,,,,
269,Medy3,Berserker,Summon Chaos Golem,Да,Да,Да,,,,,
270,Spectre___,Elementalist,Shockwave Totem,Да,Да,Да,,,,,
271,Мобесу,Saboteur,Tectonic Slam,Да,Да,Да,,,,,
272,DoctorFrog,Raider,Dominating Blow,Да,Да,,,,,,
273,Saruman-07,Berserker,Earthshatter,Да,Да,Да,,,,,
274,johnsina,Pathfinder,Molten Strike,Да,Да,,,,,,
275,danceraltay,Pathfinder,Perforate,Да,Да,Да,Да,,Да,,
276,VOLANT_XV,Inquisitor,Venom Gyre,Да,Да,Да,,,,,
277,BobaFett150,Assassin,Ball Lightning,Да,Да,,,,,,
278,anton_gara,Raider,Shrapnel Ballista,Да,Да,,,,,,
279,Fluttershyy6,Assassin,Blade Vortex,Да,Да,Да,,,,,
280,hediner,Juggernaut,Boneshatter,Да,Да,,,,,,
281,1sega9,Guardian,Toxic Rain,Да,Да,Да,,,,,
282,Demair2311,Assassin,Lightning Trap,Да,Да,Да,,,,,
283,VzrivPipisek,Chieftain,Ice Crash,Да,Да,Да,,,,,
284,dark_ger0r,Hierophant,Frostbolt,Да,Да,Да,,,,,
285,dcbear,Raider,Spectral Helix,Да,Да,,,,,,
286,ibuypower14,Assassin,Lightning Trap,Да,Да,Да,,,,,
287,WonderisNTernal,Juggernaut,Bladestorm,Да,Да,Да,,,,,
288,Kenoxe,Hierophant,Shrapnel Ballista,Да,Да,,,,,,
289,ProteraFix,Elementalist,Tectonic Slam,Да,Да,,,,,,
290,stealbl00d,Raider,Ground Slam,Да,Да,Да,,,,,
291,Negative07,Necromancer,Cobra Lash,Да,Да,Да,,,,,
292,Yogi_Yoy,Occultist,Summon Flame Golem,Да,Да,Да,,,,,
293,LeeroyDZ,Saboteur,Lancing Steel,Да,Да,Да,,,,,
294,Wiikkkk,Raider,Glacial Cascade,Да,Да,Да,,,,,
295,darkzarina2,Inquisitor,Bladefall,Да,Да,,,,,,
296,МодныйЛеха,Occultist,Explosive Trap,Да,Да,,,,,,
297,PunkGagarin,Guardian,Cobra Lash,Да,Да,,,,,,
298,vlaprohor,Assassin,Splitting Steel,Да,Да,Да,,,,,
299,Mihasikys,Elementalist,Storm Brand,Да,Да,,,,,,
300,ketrif,Occultist,Icicle Mine,Да,Да,Да,,,,,
301,Maatmasher,Deadeye,Eye of Winter,Да,Да,Да,,,,,
302,kain135,Deadeye,Lightning Trap,Да,Да,Да,,,,,
303,LORDALEXIII,Trickster,Orb of Storms,Да,Да,Да,,,,,
304,Justness,Raider,Discharge,Да,Да,Да,,,,,
305,2DILLUMINATUS,Champion,Lightning Arrow,Да,Да,Да,,,,,
306,nemaeska,Trickster,Explosive Trap,Да,Да,,,,,,
307,eckvilibrium42,Scion,Tornado Shot,Да,Да,,,,,,
308,Ogladenov_Niko,Assassin,Cobra Lash,Да,Да,,,,,,
309,OldKidBOUGI,Champion,Shockwave Totem,Да,Да,,,,,,
310,MrRoel34,Pathfinder,Lightning Arrow,Да,Да,,,,,,
311,R4dUrs,Hierophant,Blade Trap,Да,Да,Да,,,,,
312,Snakiller,Scion,Rain of Arrows,Да,Да,Да,,,,,
313,FrosTerra,Trickster,Power Siphon,Да,Да,,,,,,
314, 666Relax666,Raider,Lightning Spire Trap,Да,Да,,,,,,
315,GaJIaktus,Necromancer,Shrapnel Ballista,Да,Да,,,,,,
316,Ppika,Chieftain,Absolution,Да,Да,Да,,,,,
317,Naolzx,Trickster,Soulrend,Да,Да,Да,,,,,
318,Vihra,Elementalist,Arc,Да,Да,,,,,,
319,okaolayssss,Chieftain,Chain Hook,Да,Да,Да,,,,,
320,ISttZ,Necromancer,Consecrated Path,Да,Да,Да,,,,,
321,zoomer5566,Assassin,Fireball,Да,Да,,,,,,
322,dodlejump1,Trickster,Wintertide Brand,Да,Да,,,,,,
323,wazerd,Elementalist,Blade Flurry,Да,Да,Да,,,,,
324,Scar_devil,Gladiator,Explosive Concoction,Да,Да,Да,,,,,
325,green_salat,Champion,Earthshatter,Да,Да,,,,,,
326,ELECTROHEART_PUBG,Elementalist,Storm Brand,Да,Да,Да,,,,,
327,yuhma0,Occultist,Blazing Salvo,Да,Да,Да,,,,,
328,adept_lucifer98,Raider,Barrage,Да,Да,Да,,,,,
329,zxcVlastbzxc,Pathfinder,Rain of Arrows,Да,Да,,,,,,
330,Vadikbratik,Trickster,Cleave,Да,Да,Да,,,,,
331,kot6a3uluo,Guardian,Perforate,Да,Да,Да,,,,,
332,CooperTDM,Occultist,Ball Lightning,Да,Да,Да,Да,,,,
333,Quarderoon,Juggernaut,Frostbolt,Да,Да,Да,,,,,
334,Maksaidanov,Saboteur,Ethereal Knives,Да,Да,Да,,,,,
335,Guzzza,Raider,Sweep,Да,Да,Да,,,,,
336,WPTFU,Scion,Shockwave Totem,Да,Да,,,,,,
337,RottenHat,Hierophant,Kinetic Blast,Да,Да,Да,,,,,
338,ИванВран,Juggernaut,Wild Strike,Да,Да,,,,,,
339,negat1vec,Gladiator,Cobra Lash,Да,Да,,,,,,
